transaction_id,Date,Description,Amount,Category,vendor,related_employee_id,related_stream_id
txn_001,2024-09-02,Payroll - emp_02,-3500.0,Payroll,emp_02,emp_02,
txn_002,2024-09-03,Expense - Figma,-3448.0,Office,Figma,,
txn_003,2024-09-05,Expense - AWS,-944.0,Infrastructure,AWS,,
txn_004,2024-09-05,Payroll - emp_01,-4500.0,Payroll,emp_01,emp_01,
txn_005,2024-09-13,Expense - Stripe,-3619.0,Infrastructure,Stripe,,
txn_006,2024-09-16,Expense - Google Workspace,-593.0,Software,Google Workspace,,
txn_007,2024-10-09,Expense - AWS,-1719.0,Operations,AWS,,
txn_008,2024-10-09,Payroll - emp_02,-3500.0,Payroll,emp_02,emp_02,
txn_009,2024-10-10,Payroll - emp_01,-4500.0,Payroll,emp_01,emp_01,
txn_010,2024-10-15,Expense - Google Workspace,-1653.0,Office,Google Workspace,,
txn_011,2024-10-19,Expense - Stripe,-3825.0,Operations,Stripe,,
txn_012,2024-11-03,Expense - Google Workspace,-4578.0,Software,Google Workspace,,
txn_013,2024-11-04,Expense - Figma,-2086.0,Operations,Figma,,
txn_014,2024-11-08,Seed funding received,250000.0,Funding,VC Firm Alpha,,
txn_015,2024-11-08,Expense - Zoom,-3435.0,Software,Zoom,,
txn_016,2024-11-09,Expense - AWS,-767.0,Infrastructure,AWS,,
txn_017,2024-11-09,Payroll - emp_01,-4500.0,Payroll,emp_01,emp_01,
txn_018,2024-11-15,Expense - Notion,-4128.0,Infrastructure,Notion,,
txn_019,2024-11-15,Subscription payment (rev_sub_01),161.0,Revenue,Customer_rev_sub_01,,rev_sub_01
txn_020,2024-12-02,Payroll - emp_05,-3353.0,Payroll,emp_05,emp_05,
txn_021,2024-12-05,Payroll - emp_01,-5000.0,Payroll,emp_01,emp_01,
txn_022,2024-12-06,Expense - Figma,-1705.0,Office,Figma,,
txn_023,2024-12-08,Payroll - emp_06,-3281.0,Payroll,emp_06,emp_06,
txn_024,2024-12-10,Expense - Stripe,-3877.0,Office,Stripe,,
txn_025,2024-12-11,Subscription payment (rev_sub_01),166.0,Revenue,Customer_rev_sub_01,,rev_sub_01
txn_026,2024-12-14,Expense - AWS,-167.0,Infrastructure,AWS,,
txn_027,2024-12-15,Expense - Google Workspace,-4702.0,Infrastructure,Google Workspace,,
txn_028,2024-12-19,Payroll - emp_02,-5000.0,Payroll,emp_02,emp_02,
txn_029,2025-01-02,Payroll - emp_02,-5000.0,Payroll,emp_02,emp_02,
txn_030,2025-01-03,Expense - Google Workspace,-4935.0,Infrastructure,Google Workspace,,
txn_031,2025-01-03,Expense - AWS,-4894.0,Software,AWS,,
txn_032,2025-01-04,Monthly subscription - BigCo,20000.0,Revenue,Client_BigCo,,rev_big_01
txn_033,2025-01-06,Subscription payment (rev_sub_01),117.0,Revenue,Customer_rev_sub_01,,rev_sub_01
txn_034,2025-01-09,Payroll - emp_05,-3171.0,Payroll,emp_05,emp_05,
